"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","JJ2510166","X002FQHKTJ","B0D7ZNDP3T","8pcs Appliance Wheels, Mini Caster Wheels for Kitchen Appliances Sticky Ball Casters Self-Adhesive Appliances Slider with Swivel Castors, 360 Degree Swivel Wheel self adhesive mini caster wheels","New","19","0","0","20","0","0","0","0","0","GBP","0","0","7","10","Low traffic","4.89","0.0","4.89","0.0","NoRestockExcessActionRequired","7","0.0","0","0","13.44","1.38","0.008319","cubic feet","Standard","0.158061","UK","gl_biss","","299","0","","24","4.89","0.0","0.0","28.67","41.15","20","0","0","0","0","0.04","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","41.8","2026-08-10","19","1","0","0","318","N","","",""
"2026-08-13","JJ2510164","X002FQ2XW3","B0D91J1WPY","12 Pieces Furniture Straps,No Drill Self-Adhesive Furniture Wall Straps Child Safety and Pet Protection,Anti Tip Furniture Anchors for Bookshelf,Cabinet,Dresser","New","31","0","0","34","0","0","0","0","0","GBP","0","2","11","18","Low traffic","4.29","0.0","4.29","0.0","NoRestockExcessActionRequired","0","0.0","0","0","117.42","0.92","0.016277","cubic feet","Standard","0.504587","UK","gl_baby_product","37410","228","0","100","36","4.29","0.0","7.14","39.36","64.98","20","14","0","0","0","0.35","19","19","0","0","0","0","","","","","","","","","","","","","134.5","0","","2026-08-09","134.5","64.6","2026-08-10","50","0","0","0","366","N","","",""
"2026-08-13","JJ2510135","X002FQB4YV","B0D7M3G4QC","JYTDBCS Easter bunny stuffed animal Peeps Bunny PEEPS stuffed animal","New","19","0","0","15","4","0","0","0","0","GBP","1","3","4","5","Low traffic","8.29","0.0","8.49","0.0","NoRestockExcessActionRequired","0","0.0","0","0","228.52","0.45","0.07038","cubic feet","Standard","1.33722","UK","gl_toy","170341","209","19","25","49","8.49","7.07","21.21","28.45","35.69","15","0","0","0","0","0.93","0","0","0","0","0","0","","","","","","","","","","","","","185.6","0","","2026-08-09","143.7","185.6","2026-08-10","19","0","0","0","209","N","","",""
"2026-08-13","JJ2509175","X002E7F7P3","B0FHNWTDGB","4 Pack Hand Clappers Large Hand Clappers Noisemakers Cheer Noise Makers Finger Noise Makers for Sporting Events Basketball Football Game Party Favors (Mixed Colors)","New","49","0","0","50","0","0","0","0","0","GBP","0","0","0","0","Low traffic","8.69","0.0","7.29","0.0","Lower price","49","0.0","0","0","0.0","0.0","0.108754","cubic feet","Standard","5.328946","UK","gl_toy","","","0","","","7.29","0.0","0.0","0.0","0.0","0","30","20","0","0","3.56","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","","2026-08-10","49","1","0","0","","N","","",""
"2026-08-13","JJ2510188","X002FQJWM7","B0D8F57BXZ","2 PCS Egg Slicer, Multifunctional Egg Cutter Durable Egg Cutter for Boiled Eggs, for Hard Boiled Eggs Ham Banana Strawberry Soft Fruits Foods, Kitchen Accessories(Green & Yellow)","New","22","0","0","20","3","0","0","0","0","GBP","0","0","0","3","Low traffic","6.89","0.0","6.89","0.0","NoRestockExcessActionRequired","2","0.0","0","0","69.22","0.18","0.025638","cubic feet","Standard","0.564036","UK","gl_kitchen","1111911","312","20","","95","6.89","0.0","0.0","0.0","17.46","0","10","10","0","0","0.37","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","374.0","2026-08-10","22","1","0","0","334","N","","",""
"2026-08-13","JJ2510159","X002FQH5XF","B0DBVCQSCK","JYTDBCS Metal Headphone Hook, Headphone Hanger with Double Hooks, Universal Aluminum Alloy Gaming Headphone Stand Under Desk, Non-Slip Adjustable Desk Headphone Hanger Hook","New","49","0","0","51","0","0","0","0","0","GBP","1","5","9","14","Low traffic","4.69","0.0","4.69","0.0","NoRestockExcessActionRequired","49","0.0","0","0","0.0","0.48","0.01615","cubic feet","Standard","0.79135","UK","gl_home","","211","0","39","45","4.69","3.91","19.55","35.83","56.18","30","0","21","0","0","0.49","0","0","0","0","0","0","","","","","","","","","","","","","316.5","0","","2026-08-09","316.5","146.6","2026-08-10","49","0","0","0","211","N","","",""
"2026-08-13","JJF2509349","X002EEPUWB","B0FQJ8NDFQ","UMORDUP 6Pcs Dark Brown Medium‑Small Hair Claw Clips Strong Non‑Slip Plastic Clips for Fine Short Thin Hair for Women","New","20","0","0","0","20","0","0","0","0","GBP","0","5","12","16","Low traffic","5.09","0.0","5.09","0.0","NoRestockExcessActionRequired","0","0.0","0","0","101.27","0.55","0.003531","cubic feet","Standard","0.07062","UK","gl_beauty","124603","112","20","16","16","5.09","0.0","21.2","50.88","67.84","0","0","0","0","0","0.05","0","0","0","0","0","1","","","","","","","","","","","","","163.1","0","","2026-08-09","116.3","163.1","2026-08-10","20","0","0","0","112","N","","",""
"2026-08-13","JJF2509350","X002EETR7F","B0FQJ35SXW","Crystal Bridal Comb Gold Rhinestone Leaf Hair Piece Wedding Headpieces Bride Side Comb Wedding Hair Accessories for Bride and and Bridesmaids (Gold)","New","49","0","0","52","0","0","0","0","0","GBP","5","13","33","49","Low traffic","5.69","0.0","5.69","0.0","NoRestockExcessActionRequired","49","0.0","0","0","0.0","3.16","0.001621","cubic feet","Standard","0.079429","UK","gl_beauty","78475","98","0","21","18","5.69","23.7","62.98","158.12","233.96","52","0","0","0","0","0.05","20","20","0","0","3","0","","","","","","","","","","","","","65.0","0","","2026-08-09","65.0","30.2","2026-08-10","69","2","1","0","150","N","","",""
"2026-08-13","JJ2509199","X002E7LGXF","B0FJ7ZJYY2","WiFi Dongle for MAG 250 254 256 322 420 524 540 Wifi USB Dongle For Mag Box Infomir 802.11b/g/n 150mbps","New","40","0","0","36","4","0","0","0","0","GBP","1","3","8","21","Low traffic","8.29","0.0","8.09","0.0","NoRestockExcessActionRequired","40","0.0","0","0","0.0","0.56","0.003566","cubic feet","Standard","0.14264","UK","gl_pc","26561","269","0","53","24","8.09","6.91","20.73","55.92","148.17","6","30","0","0","0","0.09","0","0","0","0","0","0","","","","","","","","","","","","","403.0","0","","2026-08-09","403.0","130.5","2026-08-10","40","0","0","0","269","N","","",""
"2026-08-13","JJ2510113","X002FQH25L","B0CTHBB51M","JYTDBCS Silicone Leaf Moulds (2 Pcs) for Cake, Lollipop & Chocolate Decoration with Beautiful Leaf Modeling Design","New","22","0","0","27","0","0","0","0","0","GBP","5","7","8","16","Low traffic","4.09","0.0","4.09","0.0","NoRestockExcessActionRequired","0","2.83","22","0","47.51","1.3","0.004795","cubic feet","Standard","0.10549","UK","gl_kitchen","326593","114","0","12","17","4.09","17.05","23.87","27.28","53.95","27","0","0","0","0","0.07","0","0","0","0","4","0","","","","","","","","","","","","","102.0","0","","2026-08-09","102.0","66.5","2026-08-10","22","4","0","0","132","Y","Holiday Season","2026-09-19","2027-01-01"
"2026-08-13","JJF2509303","X002EDO3DT","B0FQBQNGXX","Metal Crocodile Alligator Hair Clips Barrette Hair Non-slip DIY Accessories Hairgrip 56 mm 66 mm 75 mm Long for Women and Girls, 30 Pieces, Silver","New","35","0","0","30","5","0","0","0","0","GBP","2","9","17","19","Low traffic","4.79","0.0","4.59","0.0","NoRestockExcessActionRequired","3","0.0","0","0","86.55","0.82","0.003531","cubic feet","Standard","0.123585","UK","gl_beauty","126882","142","32","15","23","4.79","7.98","35.91","67.83","75.81","30","0","0","0","0","0.08","0","0","0","0","0","0","","","","","","","","","","","","","96.8","0","","2026-08-09","74.2","96.8","2026-08-10","35","0","0","0","142","N","","",""
"2026-08-13","JJF2509296","X002EC6Q9J","B0FQ5FKFL3","16Pcs Chunni Clips with Safety Pins, Black Strong Chunni Clips Dupatta U-shape Metal Wig Hair Extension Hijab Pins for Headscarf Shirts","New","49","0","0","1","50","0","0","0","0","GBP","1","1","3","8","Low traffic","5.19","0.0","5.19","0.0","NoRestockExcessActionRequired","49","0.0","0","0","0.0","0.15","0.003531","cubic feet","Standard","0.173019","UK","gl_beauty","46103","366","0","196","79","5.19","4.49","4.49","13.81","37.11","0","1","0","0","0","0.12","0","0","0","0","1","0","","","","","","","","","","","","","1529.0","0","","2026-08-09","1529.0","597.3","2026-08-10","49","1","0","0","366","N","","",""
"2026-08-13","JJ2509158","X002E77QLB","B0FHKS7WVQ","2PCS Baggy Rack Holder For Food Prep Bag, Sandwich Holder, Food Storage Bags Clip Freezer Bags Meal Planning Bag,Plastic","New","29","0","0","0","29","0","0","0","0","GBP","0","0","0","1","Low traffic","7.09","0.0","7.09","0.0","Advertise listing","0","0.0","0","0","165.25","0.03","0.003531","cubic feet","Standard","0.102399","UK","gl_home","1257437","366","29","","377","7.09","0.0","0.0","0.0","6.41","0","0","0","0","0","0.07","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","2614.0","2026-08-10","29","0","0","0","366","N","","",""
