"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory cost coverage fee?","Low-Inventory cost coverage fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","DLH250862","X002DP5J4Z","B0FMJCYHRV","CVNRCLP Personalisiertes Herren-Armband aus Titanstahl, Instrument, Leder, Hip-Hop-Musik, Windgitarre, Schmuck","New","20","0","0","20","0","0","0","0","0","EUR","0","2","5","10","Low traffic","5.99","0.0","5.99","0.0","Advertise listing","0","0.0","0","0","78.66","0.53","1.0E-4","cubic meter","Apparel","0.002","DE","gl_jewelry","608622","327","0","80","52","6.04","0.0","10.06","26.34","54.72","0","20","0","0","0","0.05","20","20","0","0","0","0","","","","","","","","","","","","","255.0","4","","0","","2026-08-10","Yes","No","255.0","151.4","2026-08-10","40","0","0","0","366","N","","",""
"2026-08-13","DLH250936","X002EKGAVF","B0FR8JVKQZ","Gegen Schnarchen Chin Strap, Schnarchgerät Zur Schnarchreduzierung, kinnriemen schnarchen, anti schnarch Chin Strap Hilfe zur Schnarchreduzierung für Frauen und Männer, Pink","New","17","0","0","0","17","0","0","0","0","EUR","0","1","3","5","Low traffic","5.89","0.0","5.89","0.0","NoRestockExcessActionRequired","0","0.0","0","0","35.91","0.25","1.0E-4","cubic meter","Standard","0.0017","DE","gl_drugstore","221058","271","32","128","83","5.89","0.0","4.95","15.53","26.11","0","0","0","0","0","0.04","15","0","15","0","0","2","","","","","","","","","","","","","527.0","8","","0","","2026-08-10","Yes","No","527.0","269.6","2026-08-10","32","0","0","0","271","N","","",""
"2026-08-13","DLH250931","X002EJUW0V","B0FR4YCJ66","Abflusssieb küchenspüle 79,3mm - Siebkörbchen mit Höhenverstellbar - Waschbecken sieb - Spülbecken Abflussstopfen","New","19","0","0","19","0","0","0","0","0","EUR","1","8","12","19","Low traffic","4.39","0.0","4.39","0.0","Create Outlet deal","0","3.83","2","0","79.52","1.21","1.0E-4","cubic meter","Standard","0.0019","DE","gl_home","745997","97","0","9","13","4.39","3.69","29.86","45.98","75.17","19","0","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","63.5","2","","0","","2026-08-10","Yes","No","18.3","63.5","2026-08-10","19","0","0","0","97","N","","",""
"2026-08-13","RPALHDE004","X002GVO1TP","B0G64HSG5Z","Pack of 12 Zip Zipper, Metal Fix Zipper, Universal Zipper Pull Fixer Repair Kit, Removable Zip Repair Kit for Clothes, Bed Train, Luggage, Backpacks and Suitcases","New","6","0","0","0","6","0","0","0","0","EUR","0","3","3","3","Low traffic","4.19","0.0","4.19","0.0","Create Outlet deal","0","0.0","0","0","32.89","0.33","1.0E-4","cubic meter","Standard","6.0E-4","DE","gl_home","892783","366","35","46","151","4.19","0.0","10.9","10.9","10.9","0","0","0","0","0","0.02","29","0","29","0","0","0","","","","","","","","","","","","","276.8","1","","0","","2026-08-10","Yes","No","67.0","276.8","2026-08-10","35","0","0","0","366","N","","",""
"2026-08-13","DLH250842","X002DQ229T","B0FMNN12M9","CVNRCLP Universal-Werkzeug zum Entfernen von Golfschuhen, Schwarz, 4 Stück, Handschlüssel für zweipolige Golf- und Cricketschuhe, einfaches Spike-Wechselwerkzeug","","0","0","0","1","0","0","0","0","0","EUR","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0","DE","gl_home_improvement","","","0","","","5.49","","","","","0","1","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","0","0","0","0","","N","","",""
"2026-08-13","RPALHDE003","X002GSQRT5","B0G5JHV95C","Sauce Spoon Stainless Steel Set of 2 Gravy Boat Spoons Made of Rustproof 304 Material with Pouring Spout and Hanging Loop Dishwasher Safe for Sauce Soup Kitchen","New","15","0","0","0","15","0","0","0","0","EUR","0","0","0","0","Low traffic","4.79","0.0","4.79","0.0","Advertise listing","0","0.0","0","0","55.05","0.0","1.0E-4","cubic meter","Standard","0.0015","DE","gl_kitchen","2300000","366","15","","","5.07","0.0","0.0","0.0","0.0","0","0","0","0","0","0.04","0","0","0","0","0","0","","","","","","","","","","","","","","0","","0","","","","","","","2026-08-10","15","0","0","0","366","N","","",""
"2026-08-13","RPALHDE025","X002GUC3BT","B0G5XQ4CTV","2er-Pack Kinder-Fußball-Schienbeinschoner, Mini Schienbeinschoner 9.5x6 cm, Schutz für Jungen, Männer, Erwachsene","New","7","0","0","7","0","0","0","0","0","EUR","1","2","6","6","Low traffic","5.99","0.0","5.99","0.0","Create Outlet deal","0","5.11","2","0","34.36","0.63","1.0E-4","cubic meter","Standard","7.0E-4","DE","gl_sports","112879","336","0","54","58","5.99","5.03","10.06","31.88","31.88","0","0","7","0","0","0.02","20","0","20","0","0","0","","","","","","","","","","","","","292.0","11","Low stock","0","","2026-08-10","Yes","No","292.0","203.6","2026-08-10","27","0","0","0","336","N","","",""
"2026-08-13","RPALHDE083","X002GTJY71","B0G5P9FK7J","CVNRCLP Süßer Kirsch Bag Charm Damen, Taschenanhänger mit Eleganter Schleife für Handtasche Rucksack Autoschlüssel, Modisches Accessoire Schlüsselanhänger Damen Geburtstag Geschenk oder Alltag","New","19","0","0","0","19","0","0","0","0","EUR","0","0","0","2","Low traffic","5.29","0.0","5.29","0.0","Create Outlet deal","0","0.0","0","0","91.87","0.1","1.0E-4","cubic meter","Apparel","0.0019","DE","gl_apparel","1478839","366","19","","123","5.76","0.0","0.0","0.0","10.58","0","0","0","0","0","0.03","0","0","0","0","0","0","","","","","","","","","","","","","","1","","0","","","","","","865.0","2026-08-10","19","0","0","0","366","N","","",""
"2026-08-13","DLH250847","X002DQ3V21","B0FMNXQD9Q","Bambusspieße, Grillspieße, Schaschlikstäbe, Holzpaddel-Picker, Bambusspieße, flache Burger-Paddelstäbchen, Holz, Mini-Holz-Rührstäbchen, Charcuterie-Zubehör, 200 Stück","New","24","0","0","0","24","0","0","0","0","EUR","2","4","5","6","Low traffic","6.29","0.0","6.29","0.0","Create Outlet deal","0","5.03","2","0","76.12","0.18","9.15E-4","cubic meter","Standard","0.021951","DE","gl_home","189485","244","24","24","52","6.29","10.58","21.16","26.78","32.4","0","0","0","0","0","0.06","0","0","0","0","0","0","","","","","","","","","","","","","642.0","7","","0","","2026-08-10","Yes","No","410.0","642.0","2026-08-10","24","0","0","0","244","N","","",""
"2026-08-13","RPALHDE075","X002GTLGO5","B0G5PHGB6Z","- Schlüsselanhänger Medical Bag - Roter Bestickter Gepäckanhänger Kofferanhänger - Notfalltasche Erste Hilfe Tasche Medizinischer Rucksack - Outdoor Wandern SOS Notfall Schlüsselbund Tag","New","10","0","0","0","11","0","0","0","0","EUR","1","4","4","4","Low traffic","6.39","0.0","6.39","0.0","Create Outlet deal","0","5.27","2","0","45.35","0.35","1.0E-4","cubic meter","Standard","0.001","DE","gl_office_product","735784","366","40","40","130","6.39","5.37","22.16","22.16","22.16","0","0","0","0","0","0.03","30","0","30","0","1","0","","","","","","","","","","","","","261.6","2","","0","","2026-08-10","Yes","No","98.5","261.6","2026-08-10","40","0","1","0","366","N","","",""
